year,age,tm,pos,no.,games_g,games_gs,0-19_fga,0-19_fgm,20-29_fga,20-29_fgm,30-39_fga,30-39_fgm,40-49_fga,40-49_fgm,50+_fga,50+_fgm,scoring_fga,scoring_fgm,lng,scoring_fg%,scoring_xpa,scoring_xpm,scoring_xp%,kickoffs_ko,kickoffs_koyds,kickoffs_tb,kickoffs_tb%,kickoffs_koavg,name,link,playoff_stat,av,tot_fga,tot_fgm,tot_lng,fg%,pat_xpa,pat_xpm,xp%,awards
2020.0,38,ARI,K,2.0,4,0.0,,,1.0,1.0,5.0,4.0,2.0,2.0,,,8.0,7.0,43.0,87.5%,7.0,7.0,100.0%,19.0,1202.0,3.0,15.8%,63.3,Mike Nugent,https://www.pro-football-reference.com/players/N/nugenmik01.htm,False,1.0,,,,,,,,
2014.0,23,CHI,P,16.0,16,0.0,,,,,,,,,,,,,,,,,,1.0,65.0,1.0,100.0%,65.0,Pat O'Donnell,https://www.pro-football-reference.com/players/O/ODonPa00.htm,False,,,,,,,,,
2016.0,25,CHI,P,16.0,16,0.0,,,,,,,,,,,,,,,,,,1.0,51.0,,,51.0,Pat O'Donnell,https://www.pro-football-reference.com/players/O/ODonPa00.htm,False,,,,,,,,,
2017.0,26,CHI,P,16.0,16,0.0,,,,,,,,,,,,,,,,,,4.0,260.0,2.0,50.0%,65.0,Pat O'Donnell,https://www.pro-football-reference.com/players/O/ODonPa00.htm,False,,,,,,,,,
2019.0,28,CHI,P,16.0,16,0.0,,,,,,,,,,,,,,,,,,15.0,962.0,10.0,66.7%,64.1,Pat O'Donnell,https://www.pro-football-reference.com/players/O/ODonPa00.htm,False,,,,,,,,,
2023.0,29,HOU,RB,33.0,12,0.0,,,1.0,1.0,,,,,,,1.0,1.0,29.0,100.0%,,,,6.0,331.0,3.0,50.0%,55.2,Dare Ogunbowale,https://www.pro-football-reference.com/players/O/OgunDa00.htm,False,,,,,,,,,
2013.0,24,MIA,K,9.0,16,0.0,1.0,1.0,4.0,4.0,12.0,10.0,10.0,8.0,7.0,3.0,34.0,26.0,54.0,76.5%,33.0,33.0,100.0%,74.0,4783.0,38.0,51.4%,64.6,Caleb Sturgis,https://www.pro-football-reference.com/players/S/SturCa00.htm,False,2.0,,,,,,,,
2014.0,25,MIA,K,9.0,16,0.0,1.0,1.0,12.0,12.0,8.0,7.0,10.0,6.0,6.0,3.0,37.0,29.0,53.0,78.4%,41.0,41.0,100.0%,85.0,5448.0,37.0,43.5%,64.1,Caleb Sturgis,https://www.pro-football-reference.com/players/S/SturCa00.htm,False,2.0,,,,,,,,
2015.0,26,PHI,K,6.0,13,0.0,,,4.0,4.0,10.0,8.0,4.0,4.0,4.0,2.0,22.0,18.0,53.0,81.8%,37.0,35.0,94.6%,68.0,4171.0,39.0,57.4%,61.3,Caleb Sturgis,https://www.pro-football-reference.com/players/S/SturCa00.htm,False,2.0,,,,,,,,
2016.0,27,PHI,K,6.0,16,0.0,,,12.0,12.0,12.0,12.0,11.0,7.0,6.0,4.0,41.0,35.0,55.0,85.4%,31.0,30.0,96.8%,87.0,5439.0,46.0,52.9%,62.5,Caleb Sturgis,https://www.pro-football-reference.com/players/S/SturCa00.htm,False,3.0,,,,,,,,
2017.0,28,PHI,K,6.0,1,0.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,50.0,100.0%,2.0,1.0,50.0%,6.0,374.0,2.0,33.3%,62.3,Caleb Sturgis,https://www.pro-football-reference.com/players/S/SturCa00.htm,False,0.0,,,,,,,,
2018.0,29,LAC,K,6.0,6,0.0,,,4.0,4.0,2.0,2.0,6.0,3.0,1.0,,13.0,9.0,49.0,69.2%,15.0,9.0,60.0%,,,,,,Caleb Sturgis,https://www.pro-football-reference.com/players/S/SturCa00.htm,False,-1.0,,,,,,,,
