week_ind,day_int,OT,away,attendance,roof_type,humidity_pct,wind_speed,temperature,duration,coach_rating,coach_rating_opp,home_strength,opp_strength
14.0,2,1,0,67431.0,outdoors,59.4390243902439,24.0,29.0,199.0,0.5664865969271276,71.7014826752619,-12.823542336199452,-13.444288545486083
16.0,2,0,1,58796.0,outdoors,59.4390243902439,8.0,24.0,179.0,106.2006844790066,0.4551824561403137,-1.9302334896519264,-29.106561051517083
1.0,2,0,1,71710.0,retractable roof (open),59.4390243902439,8.56071964017991,58.11832611832612,186.0,82.12338756432808,79.95715309200601,-4.072393802788254,-27.94098005630611
2.0,2,0,0,61709.0,outdoors,59.4390243902439,10.0,84.0,182.0,82.42644230769235,43.50888663967609,-11.13949220175667,-10.708503852144467
6.0,2,0,0,56232.0,outdoors,59.4390243902439,10.0,88.0,186.0,79.88885416666673,112.65375,-8.273715781763936,-17.934132356637708
7.0,2,0,1,63104.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,175.0,53.83636400322851,82.85930303030307,-2.4287144230476443,-18.36937970957576
10.0,2,1,0,60835.0,outdoors,59.4390243902439,5.0,76.0,223.0,96.34070481601732,46.75799603174599,12.503617446036731,-24.668002083745364
12.0,2,0,1,63891.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,198.0,88.35550730519478,99.61616271963328,-3.4488738823276845,-24.32371769363889
13.0,2,0,0,61207.0,outdoors,59.4390243902439,7.0,70.0,181.0,96.00971428571428,51.482364583333286,0.9550261956468624,-17.746978374586156
14.0,2,0,0,64431.0,outdoors,59.4390243902439,8.56071964017991,58.11832611832612,201.0,98.82839818700693,137.90856755057536,4.318187817926006,-23.063714439601817
15.0,2,0,0,64701.0,outdoors,59.4390243902439,5.0,72.0,196.0,98.8133095371407,79.13658372326199,10.598766364764227,-39.14324488240214
16.0,2,0,1,70133.0,outdoors,59.4390243902439,8.56071964017991,52.0,207.0,50.77902056277055,104.92059294871792,-5.187082929476025,-12.627511263985369
17.0,2,0,1,65501.0,outdoors,59.4390243902439,5.0,23.0,185.0,45.42447737068971,106.11854350523986,0.3996223716460321,-24.800640212409107
1.0,2,0,0,69089.0,outdoors,59.4390243902439,7.0,72.0,179.0,43.41057894736843,47.30283670033661,23.98071252611915,-24.185767430143997
3.0,2,0,0,69127.0,outdoors,59.4390243902439,4.0,88.0,199.0,48.10934259259263,139.21206225834456,6.814782961663411,-18.84864897522877
4.0,2,0,1,71804.0,retractable roof (open),59.4390243902439,8.56071964017991,58.11832611832612,176.0,79.44632575757575,48.57032142857146,-0.7522234863326647,-22.16946096423765
6.0,1,0,0,63888.0,outdoors,59.4390243902439,7.0,57.0,192.0,39.72416666666664,56.308383419469656,-0.1426206998738699,-7.9753969587265265
12.0,2,0,1,62207.0,retractable roof (open),59.4390243902439,8.56071964017991,58.11832611832612,175.0,51.65348983289239,48.11199226699224,5.485933137908554,-23.037312743584465
13.0,2,0,0,62758.0,outdoors,59.4390243902439,4.0,60.0,209.0,49.34677248677257,80.83185778876366,11.514443497003588,-13.806633583972612
14.0,2,0,1,64153.0,retractable roof (closed),59.4390243902439,8.56071964017991,58.11832611832612,178.0,89.3026949988757,48.9173399014778,0.2029486827119555,-32.84581823723633
15.0,2,0,1,70133.0,outdoors,59.4390243902439,17.0,65.0,187.0,42.66491666666666,47.68051503759401,10.824844516349868,-12.817254070353696
16.0,2,0,0,60097.0,outdoors,59.4390243902439,11.0,39.0,200.0,45.87746839182323,116.16194805194806,7.548418944748535,-12.768871969831446
20.0,3,0,1,73319.0,outdoors,59.4390243902439,10.0,33.0,194.0,60.621136507936455,46.14652586844049,5.865296053226956,-28.29077401821936
