,game_id,boxscore_stub,week_ind,day_int,attendance,roof_type,humidity_pct,wind_speed,temperature,over_under_value,spread_value,spread_home_away,coach_rating,coach_rating_opp,home_strength,opp_strength,team_rating,team_rating_opp,score_home_test,score_opp_test,score_home_pred,score_opp_pred
2108,rav_cle_2023-11-12,/boxscores/202311120rav.htm,10.0,2,70424.0,outdoors,46.0,4.0,49.0,38.5,-6.0,1,106.4577477034304,91.82144476744188,-11.947451324224591,-13.333300914852398,124.87455,158.98497,31.0,33.0,19.281297618430376,20.23926009399073
2109,rav_cin_2023-11-16,/boxscores/202311160rav.htm,11.0,5,70997.0,outdoors,54.0,1.0,56.0,46.0,-4.0,1,105.83295915336964,33.90636017313299,-21.634223142076905,-17.7411870005498,153.29305000000002,129.05519,34.0,20.0,27.078817144378732,17.08751367302732
2110,sdg_rav_2023-11-26,/boxscores/202311260sdg.htm,12.0,2,70240.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,48.0,-3.0,1,74.6463509382248,106.43121023965148,-20.41696809932847,5.507992621539223,124.9348,153.50665,10.0,20.0,16.920968801595016,23.018523600318204
2111,rav_ram_2023-12-10,/boxscores/202312100rav.htm,14.0,2,70492.0,outdoors,91.0,5.0,57.0,39.5,-7.0,1,106.7353611891522,98.52385353535357,-4.087430974541844,-15.933658518010107,153.55238,169.42427,37.0,31.0,29.092666131402034,27.474609564889324
2112,jax_rav_2023-12-17,/boxscores/202312170jax.htm,15.0,2,68021.0,outdoors,81.0,13.0,58.0,42.0,-3.0,1,75.26603834494543,106.7577648727936,-25.127175266283384,13.45026703151346,131.15992,159.68249,7.0,23.0,18.345628183230026,24.19814678368367
2113,sfo_rav_2023-12-25,/boxscores/202312250sfo.htm,16.0,1,71812.0,outdoors,60.0,8.0,56.0,46.5,-6.0,0,123.11796422295052,106.98949247615036,5.102035791232168,4.505580516867414,153.9917,148.41055,19.0,33.0,27.44680027622325,24.373051495990534
2114,rav_pit_2024-01-06,/boxscores/202401060rav.htm,18.0,3,70355.0,outdoors,91.0,15.0,38.0,34.5,-3.0,0,107.00290101281402,86.25032417625309,-9.360621216128193,-9.41334929736446,109.95984,147.819,10.0,17.0,14.625130312284067,17.964220948035898
2115,rav_htx_2024-01-20,/boxscores/202401200rav.htm,21.0,3,71018.0,outdoors,40.0,16.0,27.0,43.5,-9.0,1,106.39063036461704,82.97423611111114,-17.179175887409777,-11.196480445489351,164.16921,101.67364,34.0,10.0,24.600511630571454,9.184871087737223
2116,rav_kan_2024-01-28,/boxscores/202401280rav.htm,,2,71439.0,outdoors,83.0,7.0,47.0,44.0,-4.0,1,107.07527040831783,95.657250902351,6.947525179103888,-19.899035026918845,120.72879,164.92659,10.0,17.0,17.50346341009667,23.092131855067375
2117,pit_cle_2023-09-18,/boxscores/202309180pit.htm,2.0,1,67576.0,outdoors,66.0,6.0,62.0,39.0,-2.0,1,91.25255753391475,83.84180430152685,-7.532257961086476,-29.072274917736543,115.63144,166.84098,26.0,22.0,15.120341407398415,23.48144247636724
2118,cle_oti_2023-09-24,/boxscores/202309240cle.htm,3.0,2,67919.0,outdoors,69.0,5.0,68.0,38.0,-3.0,1,86.48890044555837,49.35775873949965,-10.875114524452371,-5.7916617736873715,171.96574,79.84308,27.0,3.0,28.093960180841474,8.87205738121941
2119,cle_sfo_2023-10-15,/boxscores/202310150cle.htm,6.0,2,67431.0,outdoors,70.0,15.0,53.0,35.5,-9.0,0,87.97827976190473,121.36957295296168,-24.54171606606631,-12.085639167858092,147.88627,111.85108,19.0,17.0,19.62915229295848,13.719105543184162
2120,clt_cle_2023-10-22,/boxscores/202310220clt.htm,7.0,2,65552.0,retractable roof (open),59.4390243902439,8.56071964017991,58.11832611832612,39.5,-3.0,1,51.336666666666616,89.78853733708038,-26.567708861231058,-2.490568741675058,167.52432000000002,130.86524,38.0,39.0,26.22907509765326,20.94372443630655
2121,sea_cle_2023-10-29,/boxscores/202310290sea.htm,8.0,2,68807.0,outdoors,60.0,3.0,47.0,39.5,-4.0,0,90.50719808111292,87.04969989629242,-10.581299473851152,-20.014006599928244,127.15186,170.156,24.0,20.0,21.092577871210242,25.675076303451192
2122,cle_crd_2023-11-05,/boxscores/202311050cle.htm,9.0,2,67919.0,outdoors,58.0,7.0,56.0,38.5,-13.0,1,87.14423708599907,21.169583333333343,-12.702074104525549,-19.656742928166917,160.29343,79.71182,27.0,0.0,25.012856659928776,7.0208199917032115
2123,cle_pit_2023-11-19,/boxscores/202311190cle.htm,11.0,2,67919.0,outdoors,67.0,11.0,48.0,33.0,-2.0,1,92.61650994147794,86.12558423837372,-40.8994737163262,-4.1872038531745215,135.95346,121.08608,13.0,10.0,16.435426989176793,12.635143425957489
2124,den_cle_2023-11-26,/boxscores/202311260den.htm,12.0,2,76261.0,outdoors,37.0,5.0,40.0,37.0,-1.0,0,101.0552430721178,92.50113611329664,-7.639003886953966,-31.735321384675235,140.61853,123.27148,29.0,12.0,17.0703311481776,13.864306490647646
2125,ram_cle_2023-12-03,/boxscores/202312030ram.htm,13.0,2,72887.0,dome,59.4390243902439,8.56071964017991,58.11832611832612,40.5,-4.0,0,98.0546248752375,91.46016218081434,-0.6047317461228099,-4.362049651162354,141.17997,154.53913,36.0,19.0,19.79773250599452,22.242775436149394
2126,cle_jax_2023-12-10,/boxscores/202312100cle.htm,14.0,2,67431.0,outdoors,70.0,11.0,39.0,34.0,-2.0,1,89.71646070795339,76.16327038861527,-33.304387393635864,11.94670276814067,158.36434,133.65068000000002,31.0,27.0,26.321706295630584,18.04167971708118
2127,cle_chi_2023-12-17,/boxscores/202312170cle.htm,15.0,2,67919.0,outdoors,84.0,15.0,45.0,38.0,-3.0,1,90.91147435897427,25.22051578947369,-20.852218222049363,-8.328109228389595,157.63008,124.50213,20.0,17.0,24.77338975467418,15.416495466763793
