coach_name,coach_link,team_link,home_away,boxscore_id,date,coach_id,team_id,season
Marc Trestman,/coaches/TresMa0.htm,/teams/chi/2013.htm,home,201310100chi,2013-10-10,TresMa0,chi,2013
Marvin Lewis,/coaches/LewiMa0.htm,/teams/cin/2013.htm,away,201310130buf,2013-10-13,LewiMa0,cin,2013
Doug Marrone,/coaches/MarrDo0.htm,/teams/buf/2013.htm,home,201310130buf,2013-10-13,MarrDo0,buf,2013
Jim Schwartz,/coaches/SchwJi0.htm,/teams/det/2013.htm,away,201310130cle,2013-10-13,SchwJi0,det,2013
Rob Chudzinski,/coaches/ChudRo0.htm,/teams/cle/2013.htm,home,201310130cle,2013-10-13,ChudRo0,cle,2013
Mike Shanahan,/coaches/ShanMi0.htm,/teams/was/2013.htm,away,201310130dal,2013-10-13,ShanMi0,was,2013
Jason Garrett,/coaches/GarrJa0.htm,/teams/dal/2013.htm,home,201310130dal,2013-10-13,GarrJa0,dal,2013
Gus Bradley,/coaches/BradGu0.htm,/teams/jax/2013.htm,away,201310130den,2013-10-13,BradGu0,jax,2013
John Fox,/coaches/FoxxJo0.htm,/teams/den/2013.htm,home,201310130den,2013-10-13,FoxxJo0,den,2013
Jeff Fisher,/coaches/FishJe0.htm,/teams/ram/2013.htm,away,201310130htx,2013-10-13,FishJe0,ram,2013
Gary Kubiak,/coaches/KubiGa0.htm,/teams/htx/2013.htm,home,201310130htx,2013-10-13,KubiGa0,htx,2013
Dennis Allen,/coaches/AlleDe0.htm,/teams/rai/2013.htm,away,201310130kan,2013-10-13,AlleDe0,rai,2013
Andy Reid,/coaches/ReidAn0.htm,/teams/kan/2013.htm,home,201310130kan,2013-10-13,ReidAn0,kan,2013
Ron Rivera,/coaches/RiveRo0.htm,/teams/car/2013.htm,away,201310130min,2013-10-13,RiveRo0,car,2013
Leslie Frazier,/coaches/FrazLe0.htm,/teams/min/2013.htm,home,201310130min,2013-10-13,FrazLe0,min,2013
Sean Payton,/coaches/PaytSe0.htm,/teams/nor/2013.htm,away,201310130nwe,2013-10-13,PaytSe0,nor,2013
Bill Belichick,/coaches/BeliBi0.htm,/teams/nwe/2013.htm,home,201310130nwe,2013-10-13,BeliBi0,nwe,2013
Mike Tomlin,/coaches/TomlMi0.htm,/teams/pit/2013.htm,away,201310130nyj,2013-10-13,TomlMi0,pit,2013
